2023-09-29 16:10:49,./model/best.pt,1280,0.43,0.05,0.5,3,4,1,0,0,0,0,8
2023-09-29 16:11:51,./model/best.pt,1280,0.43,0.05,0.5,0,1,0,0,0,0,0,1
2023-09-29 16:12:26,./model/best.pt,1280,0.43,0.05,0.5,0,0,0,0,0,0,0,0
2023-09-29 16:12:59,./model/best.pt,1280,0.43,0.05,0.5,0,0,0,0,0,0,0,0
2023-09-29 16:13:11,./model/best.pt,1280,0.43,0.05,0.5,0,0,0,0,0,0,0,0
2023-09-29 16:13:22,./model/best.pt,1280,0.43,0.05,0.5,0,1,0,0,0,0,0,1
2023-09-29 16:13:57,./model/best.pt,1280,0.43,0.05,0.5,12,14,1,0,0,2,0,27
2023-09-29 16:15:10,./model/best.pt,1280,0.43,0.05,0.5,25,32,1,0,0,2,0,58
2023-09-29 16:16:06,./model/best.pt,1280,0.43,0.05,0.5,25,32,1,0,0,2,0,58
2023-09-29 16:17:25,./model/best.pt,1280,0.43,0.05,0.5,25,32,1,0,0,2,0,58
2023-09-29 16:18:58,./model/best.pt,1280,0.43,0.05,0.5,25,32,1,0,0,2,0,58
2023-09-29 16:20:32,./model/best.pt,1280,0.43,0.05,0.5,25,32,1,0,0,2,0,58
2023-10-04 09:37:31,./model/best.pt,1280,0.43,0.05,0.5,12,14,1,0,0,2,0,27
